PartialNodeId,SubIndex,NodeValueServerTime,NodeValueSourceTime,NodeValue,NodeValueQuality,NodeValueType
2,-1,131757420309163586,131757420309227532,856.7,1,11
2,-1,131757420338695534,131757420340250021,868.5,1,11
2,-1,131757420370415053,131757420371301256,843.5,1,11
2,-1,131757420394322082,131757420397905908,885.4,1,11
2,-1,131757420426041427,131757420428914964,878.1,1,11
2,-1,131757420457917247,131757420459952494,838.7,1,11
2,-1,131757420489636766,131757420490987796,834.5,1,11
2,-1,131757420520262565,131757420521999973,846.7,1,11
2,-1,131757420547606867,131757420548611484,807.4,1,11
2,-1,131757420576982628,131757420579656172,788.8,1,11
2,-1,131757420608858639,131757420610697394,791.1,1,11
2,-1,131757420639328043,131757420641734642,803.9,1,11
2,-1,131757420665578723,131757420668337540,788.8,1,11
2,-1,131757420697298274,131757420699364011,802.4,1,11
2,-1,131757420729173881,131757420730379924,797.6,1,11
2,-1,131757420758549653,131757420761432882,796.5,1,11
2,-1,131757420786050296,131757420788072245,822.6,1,11
2,-1,131757420817613813,131757420819090719,820.3,1,11
2,-1,131757420848239441,131757420850113045,821.7,1,11
2,-1,131757420880115164,131757420881156103,816.6,1,11
2,-1,131757420909490895,131757420912162208,852.3,1,11
2,-1,131757420935741470,131757420938737369,886.8,1,11
2,-1,131757420967461071,131757420969798474,874.6,1,11
2,-1,131757420998086836,131757421000853330,872.6,1,11
2,-1,131757421029806284,131757421031852211,825.4,1,11
2,-1,131757421056057047,131757421058444873,864.3,1,11
2,-1,131757421087776966,131757421089494170,793.3,1,11
2,-1,131757421118402296,131757421120515737,804.4,1,11
2,-1,131757421150121751,131757421151539895,869.9,1,11
2,-1,131757421179810047,131757421182575948,834.9,1,11
2,-1,131757421206998227,131757421209177549,805.1,1,11
2,-1,131757421237623965,131757421240215998,790.5,1,11
2,-1,131757421268249760,131757421271260620,806.4,1,11
2,-1,131757421301063068,131757421302319694,857.5,1,11
2,-1,131757421327313691,131757421328909689,876.2,1,11
2,-1,131757421359033347,131757421359970779,815.9,1,11
2,-1,131757421389658958,131757421391016026,823.5,1,11
2,-1,131757421420284740,131757421422034805,811.6,1,11
2,-1,131757421446535325,131757421448616557,829.5,1,11
2,-1,131757421477161182,131757421479647931,857.7,1,11
2,-1,131757421508880637,131757421510675820,825.6,1,11
2,-1,131757421539506340,131757421541701501,847.8,1,11
2,-1,131757421571225979,131757421572710327,793.2,1,11
2,-1,131757421597476520,131757421599303014,776.7,1,11
2,-1,131757421628102312,131757421630322446,809.2,1,11
2,-1,131757421659821947,131757421661360883,814.3,1,11
2,-1,131757421689353937,131757421692399201,817.9,1,11
2,-1,131757421715604549,131757421719003990,803.4,1,11
2,-1,131757421747323959,131757421750020466,797,1,11
2,-1,131757421779043578,131757421781047633,806.1,1,11
2,-1,131757421810763149,131757421812086944,799.6,1,11
2,-1,131757421837013710,131757421838675539,770.1,1,11
2,-1,131757421867639399,131757421869729274,799.8,1,11
2,-1,131757421898265181,131757421900760550,794.2,1,11
2,-1,131757421928891124,131757421931819987,808.1,1,11
2,-1,131757421960610424,131757421962864181,798,1,11
2,-1,131757421986861201,131757421989441859,797.8,1,11
2,-1,131757422018580758,131757422020452136,773.9,1,11
2,-1,131757422049206437,131757422051506826,766,1,11
2,-1,131757422079832222,131757422082511506,770.4,1,11
2,-1,131757422107176590,131757422109130168,795.3,1,11
2,-1,131757422138896201,131757422140152289,802.3,1,11
2,-1,131757422168428304,131757422171204472,797.8,1,11
2,-1,131757422200147734,131757422202236309,862.5,1,11
2,-1,131757422226398261,131757422228852496,889.7,1,11
2,-1,131757422257024125,131757422259870983,889.2,1,11
2,-1,131757422288743586,131757422290932406,881.4,1,11
2,-1,131757422321556922,131757422321964099,821.4,1,11
2,-1,131757422351088843,131757422353010765,805.5,1,11
2,-1,131757422378433323,131757422379608838,821.2,1,11
2,-1,131757422409059091,131757422410650921,836.8,1,11
2,-1,131757422439684781,131757422441673168,823.2,1,11
2,-1,131757422470310525,131757422472714692,808.4,1,11
2,-1,131757422497655012,131757422499301257,805.4,1,11
2,-1,131757422528280636,131757422530333587,813.2,1,11
2,-1,131757422560000351,131757422561360572,804.9,1,11
2,-1,131757422589532272,131757422592383227,800.5,1,11
2,-1,131757422647502407,131757422649976948,809.1,1,11
2,-1,131757422678128302,131757422681030297,803,1,11
2,-1,131757422709847739,131757422712070359,817.2,1,11
2,-1,131757422741567344,131757422743088644,828.8,1,11
2,-1,131757422767817926,131757422769673772,886.8,1,11
2,-1,131757422798443560,131757422800713068,887.5,1,11
2,-1,131757422831257009,131757422832852915,887.4,1,11
2,-1,131757422857507608,131757422859438087,884.5,1,11
2,-1,131757422887039567,131757422890466956,882.5,1,11
2,-1,131757422918759065,131757422921500379,881.2,1,11
2,-1,131757422949384885,131757422952541866,882.2,1,11
2,-1,131757422977823130,131757422979123835,877.8,1,11
2,-1,131757423008448816,131757423010184378,839.9,1,11
2,-1,131757423040168332,131757423041230929,793.4,1,11
2,-1,131757423069700530,131757423072239205,774.8,1,11
2,-1,131757423101419868,131757423103294964,796.4,1,11
2,-1,131757423127670464,131757423129919431,782.5,1,11
2,-1,131757423158296300,131757423160919575,779.4,1,11
2,-1,131757423190328327,131757423191953579,777.6,1,11
2,-1,131757423220641543,131757423222980676,764.1,1,11
2,-1,131757423246892207,131757423249607605,771.4,1,11
2,-1,131757423278611685,131757423280632031,790.8,1,11
2,-1,131757423310331328,131757423311714934,790.7,1,11
2,-1,131757423340957100,131757423342754391,796.1,1,11
2,-1,131757423367207667,131757423369360870,807.2,1,11
2,-1,131757423397833371,131757423400397995,812.1,1,11
